"","Player","Overs","Mdns","Runs","Wkts","Econ","Inns","","Opposition","Ground","Start Date","","Country","Date","Year","Day","Month","Yday","BPO","type"
"1905","AG Cremer (ZIM)",9,0,47,"0","5.22","1","","v Sri Lanka","Hambantota","8 Jul 2017","","ZIM",2017-07-08,2017,8,7,189,6,"ODI"
"1906","PJ Cummins (AUS)",10,1,48,"0","4.80","2","","v Pakistan","Melbourne","15 Jan 2017","","AUS",2017-01-15,2017,15,1,15,6,"ODI"
"1907","MM Ali (ENG)",6.1,0,48,"0","7.78","2","","v India","Pune","15 Jan 2017","","ENG",2017-01-15,2017,15,1,15,6,"ODI"
"1908","Mohammad Nabi (AFG)",4,0,48,"0","12.00","1","","v Ireland","Greater Noida","8 Mar 2017","","AFG",2017-03-08,2017,8,3,67,6,"T20I"
"1909","Amir Hamza (AFG)",10,0,48,"0","4.80","2","","v Ireland","Greater Noida","22 Mar 2017","","AFG",2017-03-22,2017,22,3,81,6,"ODI"
"1910","JO Holder (WI)",9,0,48,"0","5.33","1","","v Pakistan","Providence","9 Apr 2017","","WI",2017-04-09,2017,9,4,99,6,"ODI"
"1911","AS Joseph (WI)",19,5,48,"0","2.52","2","","v Pakistan","Bridgetown","30 Apr 2017","","WI",2017-04-30,2017,30,4,120,6,"Test"
"1912","RA Jadeja (INDIA)",10,0,48,"0","4.80","1","","v West Indies","North Sound","2 Jul 2017","","INDIA",2017-07-02,2017,2,7,183,6,"ODI"
"1913","I Udana (SL)",4,0,49,"0","12.25","1","","v South Africa","Cape Town","25 Jan 2017","","SL",2017-01-25,2017,25,1,25,6,"T20I"
"1914","JDS Neesham (NZ)",5,0,49,"0","9.80","2","","v Australia","Auckland","30 Jan 2017","","NZ",2017-01-30,2017,30,1,30,6,"ODI"
"1915","ST Finn (ENG)",9,0,49,"0","5.44","2","","v West Indies","North Sound","3 Mar 2017","","ENG",2017-03-03,2017,3,3,62,6,"ODI"
"1916","AS Joseph (WI)",10,1,49,"0","4.90","1","","v Pakistan","Providence","7 Apr 2017","","WI",2017-04-07,2017,7,4,97,6,"ODI"
"1917","MJ Henry (NZ)",10,0,49,"0","4.90","2","","v Bangladesh","Dublin","24 May 2017","","NZ",2017-05-24,2017,24,5,144,6,"ODI"
"1918","LE Plunkett (ENG)",8,0,49,"0","6.12","1","","v Australia","Birmingham","10 Jun 2017","","ENG",2017-06-10,2017,10,6,161,6,"ODI"
"1919","Taskin Ahmed (BDESH)",7,0,49,"0","7.00","2","","v India","Birmingham","15 Jun 2017","","BDESH",2017-06-15,2017,15,6,166,6,"ODI"
"1920","AU Rashid (ENG)",5,0,50,"0","10.00","2","","v India","Pune","15 Jan 2017","","ENG",2017-01-15,2017,15,1,15,6,"ODI"
"1921","Shakib Al Hasan (BDESH)",10,1,50,"0","5.00","2","","v New Zealand","Dublin","17 May 2017","","BDESH",2017-05-17,2017,17,5,137,6,"ODI"
"1922","Mohammad Amir (PAK)",10,0,50,"0","5.00","1","","v South Africa","Birmingham","7 Jun 2017","","PAK",2017-06-07,2017,7,6,158,6,"ODI"
"1923","JDF Vandersay (SL)",7,0,51,"0","7.28","2","","v South Africa","Port Elizabeth","28 Jan 2017","","SL",2017-01-28,2017,28,1,28,6,"ODI"
"1924","Dawlat Zadran (AFG)",8.5,1,51,"0","5.77","2","","v Ireland","Greater Noida","22 Mar 2017","","AFG",2017-03-22,2017,22,3,81,6,"ODI"
"1925","Mustafizur Rahman (BDESH)",9,0,51,"0","5.66","2","","v England","The Oval","1 Jun 2017","","BDESH",2017-06-01,2017,1,6,152,6,"ODI"
"1926","HH Pandya (INDIA)",7,1,51,"0","7.28","2","","v Sri Lanka","The Oval","8 Jun 2017","","INDIA",2017-06-08,2017,8,6,159,6,"ODI"
"1927","J Mulder (IRE)",9,0,52,"0","5.77","2","","v Afghanistan","Greater Noida","24 Mar 2017","","IRE",2017-03-24,2017,24,3,83,6,"ODI"
"1928","N Pokana (PNG)",8,0,52,"0","6.50","1","","v U.A.E.","Abu Dhabi","31 Mar 2017","","PNG",2017-03-31,2017,31,3,90,6,"ODI"
"1929","MA Starc (AUS)",9,0,52,"0","5.77","1","","v New Zealand","Birmingham","2 Jun 2017","","AUS",2017-06-02,2017,2,6,153,6,"ODI"
"1930","JJ Bumrah (INDIA)",10,0,52,"0","5.20","2","","v Sri Lanka","The Oval","8 Jun 2017","","INDIA",2017-06-08,2017,8,6,159,6,"ODI"
"1931","RA Jadeja (INDIA)",6,0,52,"0","8.66","2","","v Sri Lanka","The Oval","8 Jun 2017","","INDIA",2017-06-08,2017,8,6,159,6,"ODI"
"1932","Shakib Al Hasan (BDESH)",10,0,52,"0","5.20","1","","v New Zealand","Cardiff","9 Jun 2017","","BDESH",2017-06-09,2017,9,6,160,6,"ODI"
"1933","A Zampa (AUS)",8.2,0,52,"0","6.24","2","","v England","Birmingham","10 Jun 2017","","AUS",2017-06-10,2017,10,6,161,6,"ODI"
"1934","N Pradeep (SL)",9,1,52,"0","5.77","2","","v Zimbabwe","Galle","30 Jun 2017","","SL",2017-06-30,2017,30,6,181,6,"ODI"
"1935","Ahmed Raza (UAE)",7,0,53,"0","7.57","1","","v Ireland","ICCA Dubai","2 Mar 2017","","UAE",2017-03-02,2017,2,3,61,6,"ODI"
"1936","Mustafizur Rahman (BDESH)",6,0,53,"0","8.83","2","","v India","Birmingham","15 Jun 2017","","BDESH",2017-06-15,2017,15,6,166,6,"ODI"
"1937","BA Stokes (ENG)",13,2,53,"0","4.07","2","","v South Africa","Lord's","6 Jul 2017","","ENG",2017-07-06,2017,6,7,187,6,"Test"
"1938","Mohammad Hafeez (PAK)",9,0,54,"0","6.00","1","","v Australia","Sydney","22 Jan 2017","","PAK",2017-01-22,2017,22,1,22,6,"ODI"
"1939","CH Morris (SA)",9,0,54,"0","6.00","2","","v New Zealand","Hamilton","1 Mar 2017","","SA",2017-03-01,2017,1,3,60,6,"ODI"
"1940","CR Brathwaite (WI)",10,1,54,"0","5.40","1","","v England","North Sound","3 Mar 2017","","WI",2017-03-03,2017,3,3,62,6,"ODI"
"1941","Gulbadin Naib (AFG)",9,0,54,"0","6.00","2","","v Ireland","Greater Noida","15 Mar 2017","","AFG",2017-03-15,2017,15,3,74,6,"ODI"
"1942","SR Thompson (IRE)",8,0,54,"0","6.75","1","","v Afghanistan","Greater Noida","17 Mar 2017","","IRE",2017-03-17,2017,17,3,76,6,"ODI"
"1943","WD Parnell (SA)",10,0,54,"0","5.40","2","","v Sri Lanka","The Oval","3 Jun 2017","","SA",2017-06-03,2017,3,6,154,6,"ODI"
"1944","R Ashwin (INDIA)",10,0,54,"0","5.40","1","","v Bangladesh","Birmingham","15 Jun 2017","","INDIA",2017-06-15,2017,15,6,166,6,"ODI"
"1945","Shakib Al Hasan (BDESH)",9,0,54,"0","6.00","2","","v India","Birmingham","15 Jun 2017","","BDESH",2017-06-15,2017,15,6,166,6,"ODI"
"1946","AG Cremer (ZIM)",7,0,54,"0","7.71","2","","v Sri Lanka","Hambantota","6 Jul 2017","","ZIM",2017-07-06,2017,6,7,187,6,"ODI"
"1947","VD Philander (SA)",15,3,54,"0","3.60","3","","v England","The Oval","27 Jul 2017","","SA",2017-07-27,2017,27,7,208,6,"Test"
"1948","K Rabada (SA)",10,0,55,"0","5.50","2","","v Sri Lanka","Centurion","10 Feb 2017","","SA",2017-02-10,2017,10,2,41,6,"ODI"
"1949","D Pretorius (SA)",8,0,55,"0","6.87","2","","v New Zealand","Hamilton","1 Mar 2017","","SA",2017-03-01,2017,1,3,60,6,"ODI"
"1950","Shadab Khan (PAK)",17,0,55,"0","3.23","3","","v West Indies","Bridgetown","30 Apr 2017","","PAK",2017-04-30,2017,30,4,120,6,"Test"
"1951","PKD Chase (IRE)",7,0,55,"0","7.85","2","","v Bangladesh","Dublin (Malahide)","19 May 2017","","IRE",2017-05-19,2017,19,5,139,6,"ODI"
"1952","PJ Cummins (AUS)",8,1,55,"0","6.87","2","","v England","Birmingham","10 Jun 2017","","AUS",2017-06-10,2017,10,6,161,6,"ODI"
"1953","Sikandar Raza (ZIM)",10,0,55,"0","5.50","2","","v Sri Lanka","Hambantota","6 Jul 2017","","ZIM",2017-07-06,2017,6,7,187,6,"ODI"
"1954","B Kumar (INDIA)",8,0,56,"0","7.00","1","","v England","Kolkata","22 Jan 2017","","INDIA",2017-01-22,2017,22,1,22,6,"ODI"
"1955","CR Brathwaite (WI)",10,0,56,"0","5.60","1","","v England","Bridgetown","9 Mar 2017","","WI",2017-03-09,2017,9,3,68,6,"ODI"
"1956","SL Malinga (SL)",10,0,57,"0","5.70","1","","v South Africa","The Oval","3 Jun 2017","","SL",2017-06-03,2017,3,6,154,6,"ODI"
"1957","C de Grandhomme (NZ)",14,4,58,"0","4.14","1","","v Bangladesh","Christchurch","20 Jan 2017","","NZ",2017-01-20,2017,20,1,20,6,"Test"
"1958","CH Morris (SA)",10,0,58,"0","5.80","1","","v New Zealand","Christchurch","22 Feb 2017","","SA",2017-02-22,2017,22,2,53,6,"ODI"
"1959","MA Wood (ENG)",10,1,58,"0","5.80","1","","v Bangladesh","The Oval","1 Jun 2017","","ENG",2017-06-01,2017,1,6,152,6,"ODI"
"1960","Sikandar Raza (ZIM)",9,0,58,"0","6.44","1","","v Sri Lanka","Galle","30 Jun 2017","","ZIM",2017-06-30,2017,30,6,181,6,"ODI"
"1961","RAS Lakmal (SL)",14,1,58,"0","4.14","1","","v Zimbabwe","Colombo (RPS)","14 Jul 2017","","SL",2017-07-14,2017,14,7,195,6,"Test"
"1962","Sikandar Raza (ZIM)",13,1,58,"0","4.46","4","","v Sri Lanka","Colombo (RPS)","14 Jul 2017","","ZIM",2017-07-14,2017,14,7,195,6,"Test"
"1963","Imad Wasim (PAK)",8,0,59,"0","7.37","2","","v Australia","Perth","19 Jan 2017","","PAK",2017-01-19,2017,19,1,19,6,"ODI"
"1964","Imran Haider (UAE)",8,0,59,"0","7.37","1","","v Ireland","ICCA Dubai","2 Mar 2017","","UAE",2017-03-02,2017,2,3,61,6,"ODI"
"1965","Shakib Al Hasan (BDESH)",10,0,59,"0","5.90","1","","v Sri Lanka","Dambulla","28 Mar 2017","","BDESH",2017-03-28,2017,28,3,87,6,"ODI"
"1966","DM de Silva (SL)",12,0,59,"0","4.91","1","","v India","Colombo (SSC)","3 Aug 2017","","SL",2017-08-03,2017,3,8,215,6,"Test"
"1967","HH Pandya (INDIA)",6,0,60,"0","10.00","2","","v England","Cuttack","19 Jan 2017","","INDIA",2017-01-19,2017,19,1,19,6,"ODI"
"1968","R Ashwin (INDIA)",9,0,60,"0","6.66","1","","v England","Kolkata","22 Jan 2017","","INDIA",2017-01-22,2017,22,1,22,6,"ODI"
"1969","T Shamsi (SA)",10,0,60,"0","6.00","2","","v Sri Lanka","Cape Town","7 Feb 2017","","SA",2017-02-07,2017,7,2,38,6,"ODI"
"1970","CBRLS Kumara (SL)",7,0,60,"0","8.57","1","","v South Africa","Centurion","10 Feb 2017","","SL",2017-02-10,2017,10,2,41,6,"ODI"
"1971","Amir Hamza (AFG)",8,0,60,"0","7.50","2","","v Ireland","Greater Noida","17 Mar 2017","","AFG",2017-03-17,2017,17,3,76,6,"ODI"
"1972","D Bishoo (WI)",9,0,60,"0","6.66","1","","v India","Port of Spain","25 Jun 2017","","WI",2017-06-25,2017,25,6,176,6,"ODI"
"1973","Sikandar Raza (ZIM)",18,2,60,"0","3.33","2","","v Sri Lanka","Colombo (RPS)","14 Jul 2017","","ZIM",2017-07-14,2017,14,7,195,6,"Test"
"1974","SCJ Broad (ENG)",19,4,60,"0","3.15","3","","v South Africa","Nottingham","14 Jul 2017","","ENG",2017-07-14,2017,14,7,195,6,"Test"
"1975","JT Ball (ENG)",9,1,61,"0","6.77","1","","v Australia","Birmingham","10 Jun 2017","","ENG",2017-06-10,2017,10,6,161,6,"ODI"
"1976","MA Wood (ENG)",17,3,61,"0","3.58","1","","v South Africa","Nottingham","14 Jul 2017","","ENG",2017-07-14,2017,14,7,195,6,"Test"
"1977","MJ Santner (NZ)",17,2,62,"0","3.64","1","","v Bangladesh","Wellington","12 Jan 2017","","NZ",2017-01-12,2017,12,1,12,6,"Test"
"1978","JP Faulkner (AUS)",10,0,62,"0","6.20","1","","v Pakistan","Perth","19 Jan 2017","","AUS",2017-01-19,2017,19,1,19,6,"ODI"
"1979","LH Ferguson (NZ)",9,1,62,"0","6.88","2","","v Australia","Hamilton","5 Feb 2017","","NZ",2017-02-05,2017,5,2,36,6,"ODI"
"1980","PADLR Sandakan (SL)",8,0,62,"0","7.75","1","","v South Africa","Cape Town","7 Feb 2017","","SL",2017-02-07,2017,7,2,38,6,"ODI"
"1981","AL Phehlukwayo (SA)",9,0,62,"0","6.88","1","","v New Zealand","Christchurch","22 Feb 2017","","SA",2017-02-22,2017,22,2,53,6,"ODI"
"1982","Shakib Al Hasan (BDESH)",8,0,62,"0","7.75","2","","v England","The Oval","1 Jun 2017","","BDESH",2017-06-01,2017,1,6,152,6,"ODI"
"1983","R Ashwin (INDIA)",8,0,63,"0","7.87","1","","v England","Pune","15 Jan 2017","","INDIA",2017-01-15,2017,15,1,15,6,"ODI"
"1984","NLTC Perera (SL)",8,0,63,"0","7.87","1","","v Bangladesh","Dambulla","25 Mar 2017","","SL",2017-03-25,2017,25,3,84,6,"ODI"
"1985","N Pradeep (SL)",12,2,63,"0","5.25","3","","v India","Galle","26 Jul 2017","","SL",2017-07-26,2017,26,7,207,6,"Test"
"1986","N Pradeep (SL)",17.4,2,63,"0","3.56","1","","v India","Colombo (SSC)","3 Aug 2017","","SL",2017-08-03,2017,3,8,215,6,"Test"
"1987","Rubel Hossain (BDESH)",10,0,64,"0","6.40","2","","v England","The Oval","1 Jun 2017","","BDESH",2017-06-01,2017,1,6,152,6,"ODI"
"1988","DAS Gunaratne (SL)",10,0,64,"0","6.40","1","","v South Africa","The Oval","3 Jun 2017","","SL",2017-06-03,2017,3,6,154,6,"ODI"
"1989","C de Grandhomme (NZ)",20,2,65,"0","3.25","1","","v Bangladesh","Wellington","12 Jan 2017","","NZ",2017-01-12,2017,12,1,12,6,"Test"
"1990","Rubel Hossain (BDESH)",17,2,65,"0","3.82","2","","v New Zealand","Christchurch","20 Jan 2017","","BDESH",2017-01-20,2017,20,1,20,6,"Test"
"1991","MA Wood (ENG)",20,5,65,"0","3.25","2","","v South Africa","Lord's","6 Jul 2017","","ENG",2017-07-06,2017,6,7,187,6,"Test"
"1992","SHA Rance (NZ)",9,0,66,"0","7.33","1","","v Bangladesh","Dublin","17 May 2017","","NZ",2017-05-17,2017,17,5,137,6,"ODI"
"1993","CH Morris (SA)",10,0,66,"0","6.60","1","","v England","Southampton","27 May 2017","","SA",2017-05-27,2017,27,5,147,6,"ODI"
"1994","Imad Wasim (PAK)",9.1,0,66,"0","7.20","1","","v India","Birmingham","4 Jun 2017","","PAK",2017-06-04,2017,4,6,155,6,"ODI"
"1995","HMRKB Herath (SL)",14,0,67,"0","4.78","1","","v South Africa","Johannesburg","12 Jan 2017","","SL",2017-01-12,2017,12,1,12,6,"Test"
"1996","ST Gabriel (WI)",32,9,67,"0","2.09","1","","v Pakistan","Roseau","10 May 2017","","WI",2017-05-10,2017,10,5,130,6,"Test"
"1997","UT Yadav (INDIA)",9.4,0,67,"0","6.93","2","","v Sri Lanka","The Oval","8 Jun 2017","","INDIA",2017-06-08,2017,8,6,159,6,"ODI"
"1998","RA Jadeja (INDIA)",8,0,67,"0","8.37","1","","v Pakistan","The Oval","18 Jun 2017","","INDIA",2017-06-18,2017,18,6,169,6,"ODI"
"1999","TJ Murtagh (IRE)",7,1,68,"0","9.71","1","","v Afghanistan","Greater Noida","17 Mar 2017","","IRE",2017-03-17,2017,17,3,76,6,"ODI"
"2000","Imran Tahir (SA)",9,0,68,"0","7.55","1","","v England","Leeds","24 May 2017","","SA",2017-05-24,2017,24,5,144,6,"ODI"
"2001","JJ Bumrah (INDIA)",9,0,68,"0","7.55","1","","v Pakistan","The Oval","18 Jun 2017","","INDIA",2017-06-18,2017,18,6,169,6,"ODI"
"2002","MA Wood (ENG)",18,5,68,"0","3.77","3","","v South Africa","Nottingham","14 Jul 2017","","ENG",2017-07-14,2017,14,7,195,6,"Test"
"2003","Imad Wasim (PAK)",9,0,69,"0","7.66","1","","v Australia","Sydney","22 Jan 2017","","PAK",2017-01-22,2017,22,1,22,6,"ODI"
"2004","BJ McCarthy (IRE)",4,0,69,"0","17.25","1","","v Afghanistan","Greater Noida","12 Mar 2017","","IRE",2017-03-12,2017,12,3,71,6,"T20I"
"2005","ST Gabriel (WI)",10,0,69,"0","6.90","1","","v Pakistan","Providence","7 Apr 2017","","WI",2017-04-07,2017,7,4,97,6,"ODI"
"2006","KOK Williams (WI)",10,0,69,"0","6.90","1","","v India","North Sound","30 Jun 2017","","WI",2017-06-30,2017,30,6,181,6,"ODI"
"2007","I Sharma (INDIA)",20,2,70,"0","3.50","1","","v Australia","Ranchi","16 Mar 2017","","INDIA",2017-03-16,2017,16,3,75,6,"Test"
"2008","Mohammad Nabi (AFG)",9,1,70,"0","7.77","2","","v Ireland","Greater Noida","17 Mar 2017","","AFG",2017-03-17,2017,17,3,76,6,"ODI"
"2009","R Ashwin (INDIA)",10,0,70,"0","7.00","1","","v Pakistan","The Oval","18 Jun 2017","","INDIA",2017-06-18,2017,18,6,169,6,"ODI"
"2010","TL Chatara (ZIM)",9,0,71,"0","7.88","1","","v Afghanistan","Harare","26 Feb 2017","","ZIM",2017-02-26,2017,26,2,57,6,"ODI"
"2011","KJ O'Brien (IRE)",9,0,71,"0","7.88","1","","v England","Lord's","7 May 2017","","IRE",2017-05-07,2017,7,5,127,6,"ODI"
"2012","KMDN Kulasekara (SL)",10,0,74,"0","7.40","1","","v South Africa","Cape Town","7 Feb 2017","","SL",2017-02-07,2017,7,2,38,6,"ODI"
"2013","RL Chase (WI)",19,2,74,"0","3.89","2","","v Pakistan","Bridgetown","30 Apr 2017","","WI",2017-04-30,2017,30,4,120,6,"Test"
"2014","MA Aponso (SL)",8.4,0,77,"0","8.88","2","","v Zimbabwe","Galle","30 Jun 2017","","SL",2017-06-30,2017,30,6,181,6,"ODI"
"2015","BA Stokes (ENG)",9,0,79,"0","8.77","1","","v India","Cuttack","19 Jan 2017","","ENG",2017-01-19,2017,19,1,19,6,"ODI"
"2016","VD Philander (SA)",33,7,79,"0","2.39","2","","v New Zealand","Hamilton","25 Mar 2017","","SA",2017-03-25,2017,25,3,84,6,"Test"
"2017","JT Ball (ENG)",10,0,80,"0","8.00","1","","v India","Cuttack","19 Jan 2017","","ENG",2017-01-19,2017,19,1,19,6,"ODI"
"2018","RAS Lakmal (SL)",30,8,81,"0","2.70","1","","v South Africa","Johannesburg","12 Jan 2017","","SL",2017-01-12,2017,12,1,12,6,"Test"
"2019","JT Ball (ENG)",10,0,81,"0","8.10","2","","v South Africa","Southampton","27 May 2017","","ENG",2017-05-27,2017,27,5,147,6,"ODI"
"2020","Junaid Khan (PAK)",10,0,82,"0","8.20","1","","v Australia","Sydney","22 Jan 2017","","PAK",2017-01-22,2017,22,1,22,6,"ODI"
"2021","NM Lyon (AUS)",33,4,82,"0","2.48","3","","v India","Bengaluru","4 Mar 2017","","AUS",2017-03-04,2017,4,3,63,6,"Test"
"2022","Mohammad Amir (PAK)",24,2,83,"0","3.45","1","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
"2023","Wahab Riaz (PAK)",8.4,0,87,"0","10.03","1","","v India","Birmingham","4 Jun 2017","","PAK",2017-06-04,2017,4,6,155,6,"ODI"
"2024","Kamrul Islam Rabbi (BDESH)",19,1,100,"0","5.26","1","","v India","Hyderabad (Deccan)","9 Feb 2017","","BDESH",2017-02-09,2017,9,2,40,6,"Test"
"2025","MDK Perera (SL)",33,5,100,"0","3.03","2","","v Bangladesh","Colombo (PSS)","15 Mar 2017","","SL",2017-03-15,2017,15,3,74,6,"Test"
"2026","Shakib Al Hasan (BDESH)",24,4,104,"0","4.33","1","","v India","Hyderabad (Deccan)","9 Feb 2017","","BDESH",2017-02-09,2017,9,2,40,6,"Test"
"2027","KA Maharaj (SA)",22,1,107,"0","4.86","1","","v England","Lord's","6 Jul 2017","","SA",2017-07-06,2017,6,7,187,6,"Test"
"2028","Mehidy Hasan Miraz (BDESH)",37,5,116,"0","3.13","2","","v New Zealand","Wellington","12 Jan 2017","","BDESH",2017-01-12,2017,12,1,12,6,"Test"
"2029","MDK Perera (SL)",30,1,130,"0","4.33","1","","v India","Galle","26 Jul 2017","","SL",2017-07-26,2017,26,7,207,6,"Test"
"2030","BKG Mendis (SL)",NA,NA,NA,"-","-","1","","v South Africa","Cape Town","2 Jan 2017","","SL",2017-01-02,2017,2,1,2,6,"Test"
"2031","WU Tharanga (SL)",NA,NA,NA,"-","-","1","","v South Africa","Cape Town","2 Jan 2017","","SL",2017-01-02,2017,2,1,2,6,"Test"
"2032","FDM Karunaratne (SL)",NA,NA,NA,"-","-","1","","v South Africa","Cape Town","2 Jan 2017","","SL",2017-01-02,2017,2,1,2,6,"Test"
"2033","JK Silva (SL)",NA,NA,NA,"-","-","1","","v South Africa","Cape Town","2 Jan 2017","","SL",2017-01-02,2017,2,1,2,6,"Test"
"2034","LD Chandimal (SL)",NA,NA,NA,"-","-","1","","v South Africa","Cape Town","2 Jan 2017","","SL",2017-01-02,2017,2,1,2,6,"Test"
"2035","T Bavuma (SA)",NA,NA,NA,"-","-","2","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"2036","HM Amla (SA)",NA,NA,NA,"-","-","2","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"2037","D Elgar (SA)",NA,NA,NA,"-","-","2","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"2038","Q de Kock (SA)",NA,NA,NA,"-","-","2","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"2039","SC Cook (SA)",NA,NA,NA,"-","-","2","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"2040","JP Duminy (SA)",NA,NA,NA,"-","-","2","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"2041","F du Plessis (SA)",NA,NA,NA,"-","-","2","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"2042","BKG Mendis (SL)",NA,NA,NA,"-","-","3","","v South Africa","Cape Town","2 Jan 2017","","SL",2017-01-02,2017,2,1,2,6,"Test"
"2043","WU Tharanga (SL)",NA,NA,NA,"-","-","3","","v South Africa","Cape Town","2 Jan 2017","","SL",2017-01-02,2017,2,1,2,6,"Test"
"2044","FDM Karunaratne (SL)",NA,NA,NA,"-","-","3","","v South Africa","Cape Town","2 Jan 2017","","SL",2017-01-02,2017,2,1,2,6,"Test"
"2045","JK Silva (SL)",NA,NA,NA,"-","-","3","","v South Africa","Cape Town","2 Jan 2017","","SL",2017-01-02,2017,2,1,2,6,"Test"
"2046","LD Chandimal (SL)",NA,NA,NA,"-","-","3","","v South Africa","Cape Town","2 Jan 2017","","SL",2017-01-02,2017,2,1,2,6,"Test"
"2047","AD Mathews (SL)",NA,NA,NA,"-","-","3","","v South Africa","Cape Town","2 Jan 2017","","SL",2017-01-02,2017,2,1,2,6,"Test"
"2048","T Bavuma (SA)",NA,NA,NA,"-","-","4","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"2049","HM Amla (SA)",NA,NA,NA,"-","-","4","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"2050","D Elgar (SA)",NA,NA,NA,"-","-","4","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"2051","D Elgar (SA)",NA,NA,NA,"-","-","4","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"2052","Q de Kock (SA)",NA,NA,NA,"-","-","4","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"2053","JP Duminy (SA)",NA,NA,NA,"-","-","4","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"2054","F du Plessis (SA)",NA,NA,NA,"-","-","4","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"2055","Younis Khan (PAK)",NA,NA,NA,"-","-","1","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
"2056","Sarfraz Ahmed (PAK)",NA,NA,NA,"-","-","1","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
"2057","Misbah-ul-Haq (PAK)",NA,NA,NA,"-","-","1","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
"2058","Sharjeel Khan (PAK)",NA,NA,NA,"-","-","1","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
"2059","Babar Azam (PAK)",NA,NA,NA,"-","-","1","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
"2060","MT Renshaw (AUS)",NA,NA,NA,"-","-","2","","v Pakistan","Sydney","3 Jan 2017","","AUS",2017-01-03,2017,3,1,3,6,"Test"
"2061","DA Warner (AUS)",NA,NA,NA,"-","-","2","","v Pakistan","Sydney","3 Jan 2017","","AUS",2017-01-03,2017,3,1,3,6,"Test"
"2062","MS Wade (AUS)",NA,NA,NA,"-","-","2","","v Pakistan","Sydney","3 Jan 2017","","AUS",2017-01-03,2017,3,1,3,6,"Test"
"2063","PSP Handscomb (AUS)",NA,NA,NA,"-","-","2","","v Pakistan","Sydney","3 Jan 2017","","AUS",2017-01-03,2017,3,1,3,6,"Test"
"2064","SPD Smith (AUS)",NA,NA,NA,"-","-","2","","v Pakistan","Sydney","3 Jan 2017","","AUS",2017-01-03,2017,3,1,3,6,"Test"
"2065","UT Khawaja (AUS)",NA,NA,NA,"-","-","2","","v Pakistan","Sydney","3 Jan 2017","","AUS",2017-01-03,2017,3,1,3,6,"Test"
"2066","Mohammad Amir (PAK)",NA,NA,NA,"-","-","3","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
"2067","Younis Khan (PAK)",NA,NA,NA,"-","-","3","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
"2068","Sarfraz Ahmed (PAK)",NA,NA,NA,"-","-","3","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
"2069","Asad Shafiq (PAK)",NA,NA,NA,"-","-","3","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
"2070","Misbah-ul-Haq (PAK)",NA,NA,NA,"-","-","3","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
"2071","Sharjeel Khan (PAK)",NA,NA,NA,"-","-","3","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
"2072","Babar Azam (PAK)",NA,NA,NA,"-","-","3","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
