"","Player","Overs","Mdns","Runs","Wkts","Econ","Inns","","Opposition","Ground","Start Date","","Country","Date","Year","Day","Month","Yday","BPO","type"
"85","JP Duminy (SA)",11.3,2,47,"4","4.08","1","","v New Zealand","Wellington","16 Mar 2017","","SA",2017-03-16,2017,16,3,75,6,"Test"
"86","Taskin Ahmed (BDESH)",8.5,0,47,"4","5.32","1","","v Sri Lanka","Dambulla","28 Mar 2017","","BDESH",2017-03-28,2017,28,3,87,6,"ODI"
"87","A Dananjaya (SL)",10,1,47,"4","4.70","2","","v Zimbabwe","Hambantota","10 Jul 2017","","SL",2017-07-10,2017,10,7,191,6,"ODI"
"88","Rashid Khan (AFG)",9,0,48,"4","5.33","2","","v Ireland","Greater Noida","15 Mar 2017","","AFG",2017-03-15,2017,15,3,74,6,"ODI"
"89","Mohammed Shami (INDIA)",10,0,48,"4","4.80","1","","v West Indies","Kingston","6 Jul 2017","","INDIA",2017-07-06,2017,6,7,187,6,"ODI"
"90","Imran Haider (UAE)",10,0,49,"4","4.90","2","","v P.N.G.","Abu Dhabi","31 Mar 2017","","UAE",2017-03-31,2017,31,3,90,6,"ODI"
"91","Shakib Al Hasan (BDESH)",12.4,1,50,"4","3.94","2","","v New Zealand","Christchurch","20 Jan 2017","","BDESH",2017-01-20,2017,20,1,20,6,"Test"
"92","WD Parnell (SA)",10.3,1,51,"4","4.85","3","","v Sri Lanka","Johannesburg","12 Jan 2017","","SA",2017-01-12,2017,12,1,12,6,"Test"
"93","PADLR Sandakan (SL)",10,0,52,"4","5.20","1","","v Zimbabwe","Galle","2 Jul 2017","","SL",2017-07-02,2017,2,7,183,6,"ODI"
"94","NM Lyon (AUS)",14.5,2,53,"4","3.57","4","","v India","Pune","23 Feb 2017","","AUS",2017-02-23,2017,23,2,54,6,"Test"
"95","Dawlat Zadran (AFG)",8.5,0,53,"4","6.00","2","","v Ireland","Greater Noida","15 Mar 2017","","AFG",2017-03-15,2017,15,3,74,6,"ODI"
"96","RA Jadeja (INDIA)",44,18,54,"4","1.22","3","","v Australia","Ranchi","16 Mar 2017","","INDIA",2017-03-16,2017,16,3,75,6,"Test"
"97","JR Hazlewood (AUS)",27.3,7,55,"4","2.00","2","","v Pakistan","Sydney","3 Jan 2017","","AUS",2017-01-03,2017,3,1,3,6,"Test"
"98","LE Plunkett (ENG)",9.3,0,55,"4","5.78","2","","v New Zealand","Cardiff","6 Jun 2017","","ENG",2017-06-06,2017,6,6,157,6,"ODI"
"99","Mohammad Abbas (PAK)",23,6,56,"4","2.43","1","","v West Indies","Bridgetown","30 Apr 2017","","PAK",2017-04-30,2017,30,4,120,6,"Test"
"100","WD Parnell (SA)",9.1,0,58,"4","6.32","2","","v Sri Lanka","Cape Town","7 Feb 2017","","SA",2017-02-07,2017,7,2,38,6,"ODI"
"101","LE Plunkett (ENG)",10,0,59,"4","5.90","1","","v Bangladesh","The Oval","1 Jun 2017","","ENG",2017-06-01,2017,1,6,152,6,"ODI"
"102","MM Ali (ENG)",20,7,59,"4","2.95","2","","v South Africa","Lord's","6 Jul 2017","","ENG",2017-07-06,2017,6,7,187,6,"Test"
"103","CR Woakes (ENG)",10,3,60,"4","6.00","1","","v India","Cuttack","19 Jan 2017","","ENG",2017-01-19,2017,19,1,19,6,"ODI"
"104","CH Morris (SA)",7,0,62,"4","8.85","1","","v New Zealand","Hamilton","19 Feb 2017","","SA",2017-02-19,2017,19,2,50,6,"ODI"
"105","AR Nurse (WI)",10,0,62,"4","6.20","1","","v Pakistan","Providence","7 Apr 2017","","WI",2017-04-07,2017,7,4,97,6,"ODI"
"106","TA Boult (NZ)",32.4,12,64,"4","1.95","1","","v South Africa","Dunedin","8 Mar 2017","","NZ",2017-03-08,2017,8,3,67,6,"Test"
"107","Kuldeep Yadav (INDIA)",23,3,68,"4","2.95","1","","v Australia","Dharamsala","25 Mar 2017","","INDIA",2017-03-25,2017,25,3,84,6,"Test"
"108","RAS Lakmal (SL)",19.5,2,69,"4","3.47","3","","v South Africa","Cape Town","2 Jan 2017","","SL",2017-01-02,2017,2,1,2,6,"Test"
"109","R Ashwin (INDIA)",30.3,10,73,"4","2.39","4","","v Bangladesh","Hyderabad (Deccan)","9 Feb 2017","","INDIA",2017-02-09,2017,9,2,40,6,"Test"
"110","Shakib Al Hasan (BDESH)",36.2,9,74,"4","2.03","3","","v Sri Lanka","Colombo (PSS)","15 Mar 2017","","BDESH",2017-03-15,2017,15,3,74,6,"Test"
"111","AS Joseph (WI)",10,0,76,"4","7.60","1","","v England","Bridgetown","9 Mar 2017","","WI",2017-03-09,2017,9,3,68,6,"ODI"
"112","N Pradeep (SL)",27,8,78,"4","2.88","1","","v South Africa","Johannesburg","12 Jan 2017","","SL",2017-01-12,2017,12,1,12,6,"Test"
"113","RA Jadeja (INDIA)",37,15,78,"4","2.10","4","","v Bangladesh","Hyderabad (Deccan)","9 Feb 2017","","INDIA",2017-02-09,2017,9,2,40,6,"Test"
"114","MM Ali (ENG)",16,2,78,"4","4.87","3","","v South Africa","Nottingham","14 Jul 2017","","ENG",2017-07-14,2017,14,7,195,6,"Test"
"115","ST Gabriel (WI)",32,6,81,"4","2.53","2","","v Pakistan","Bridgetown","30 Apr 2017","","WI",2017-04-30,2017,30,4,120,6,"Test"
"116","HMRKB Herath (SL)",34.1,6,82,"4","2.40","2","","v Bangladesh","Colombo (PSS)","15 Mar 2017","","SL",2017-03-15,2017,15,3,74,6,"Test"
"117","KA Maharaj (SA)",32.1,8,85,"4","2.64","3","","v England","Lord's","6 Jul 2017","","SA",2017-07-06,2017,6,7,187,6,"Test"
"118","TA Boult (NZ)",24,4,87,"4","3.62","1","","v Bangladesh","Christchurch","20 Jan 2017","","NZ",2017-01-20,2017,20,1,20,6,"Test"
"119","K Rabada (SA)",26,7,91,"4","3.50","1","","v England","Manchester","4 Aug 2017","","SA",2017-08-04,2017,4,8,216,6,"Test"
"120","MJ Henry (NZ)",24,2,93,"4","3.87","1","","v South Africa","Hamilton","25 Mar 2017","","NZ",2017-03-25,2017,25,3,84,6,"Test"
"121","M Morkel (SA)",36.1,7,100,"4","2.76","2","","v New Zealand","Hamilton","25 Mar 2017","","SA",2017-03-25,2017,25,3,84,6,"Test"
"122","RL Chase (WI)",32,5,103,"4","3.21","1","","v Pakistan","Roseau","10 May 2017","","WI",2017-05-10,2017,10,5,130,6,"Test"
"123","PJ Cummins (AUS)",39,10,106,"4","2.71","2","","v India","Ranchi","16 Mar 2017","","AUS",2017-03-16,2017,16,3,75,6,"Test"
"124","CBRLS Kumara (SL)",25.1,2,107,"4","4.25","1","","v South Africa","Johannesburg","12 Jan 2017","","SL",2017-01-12,2017,12,1,12,6,"Test"
"125","Mehidy Hasan Miraz (BDESH)",22,1,113,"4","5.13","1","","v Sri Lanka","Galle","7 Mar 2017","","BDESH",2017-03-07,2017,7,3,66,6,"Test"
"126","M Morkel (SA)",25.3,2,115,"4","4.50","1","","v England","Lord's","6 Jul 2017","","SA",2017-07-06,2017,6,7,187,6,"Test"
"127","R Ashwin (INDIA)",28,3,119,"4","4.25","3","","v Australia","Pune","23 Feb 2017","","INDIA",2017-02-23,2017,23,2,54,6,"Test"
"128","K Rabada (SA)",34,3,122,"4","3.58","2","","v New Zealand","Hamilton","25 Mar 2017","","SA",2017-03-25,2017,25,3,84,6,"Test"
"129","PADLR Sandakan (SL)",33,2,140,"4","4.24","2","","v Bangladesh","Colombo (PSS)","15 Mar 2017","","SL",2017-03-15,2017,15,3,74,6,"Test"
"130","AG Cremer (ZIM)",48,6,150,"4","3.12","4","","v Sri Lanka","Colombo (RPS)","14 Jul 2017","","ZIM",2017-07-14,2017,14,7,195,6,"Test"
"131","N Wagner (NZ)",44,8,151,"4","3.43","1","","v Bangladesh","Wellington","12 Jan 2017","","NZ",2017-01-12,2017,12,1,12,6,"Test"
"132","HMRKB Herath (SL)",42,7,154,"4","3.66","1","","v India","Colombo (SSC)","3 Aug 2017","","SL",2017-08-03,2017,3,8,215,6,"Test"
"133","D Pretorius (SA)",5.2,1,5,"3","0.93","2","","v New Zealand","Wellington","25 Feb 2017","","SA",2017-02-25,2017,25,2,56,6,"ODI"
"134","Anshuman Rath (HKG)",2,0,6,"3","3.00","2","","v Netherlands","Dubai (DSC)","18 Jan 2017","","HKG",2017-01-18,2017,18,1,18,6,"T20I"
