"","Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date",""
"130","S Wettimuny (SL)","0","2","3","0","0","0.00","2","","v Australia","Kandy","22 Apr 1983",""
"131","ERNS Fernando (SL)","0","16","12","0","0","0.00","2","","v Australia","Kandy","22 Apr 1983",""
"132","RS Madugalle (SL)","0","5","2","0","0","0.00","3","","v Australia","Kandy","22 Apr 1983",""
"133","ALF de Mel (SL)","0","7","6","0","0","0.00","3","","v Australia","Kandy","22 Apr 1983",""
"134","S Venkataraghavan (INDIA)","0","-","-","0","0","-","1","","v West Indies","St John's","28 Apr 1983",""
"135","MA Holding (WI)","0","-","-","0","0","-","2","","v India","St John's","28 Apr 1983",""
"136","DB Vengsarkar (INDIA)","0","-","-","0","0","-","3","","v West Indies","St John's","28 Apr 1983",""
"137","RW Taylor (ENG)","0","14","13","0","0","0.00","1","","v New Zealand","The Oval","14 Jul 1983",""
"138","JG Wright (NZ)","0","2","3","0","0","0.00","2","","v England","The Oval","14 Jul 1983",""
"139","JJ Crowe (NZ)","0","9","4","0","0","0.00","2","","v England","The Oval","14 Jul 1983",""
"140","MD Crowe (NZ)","0","43","29","0","0","0.00","2","","v England","The Oval","14 Jul 1983",""
"141","EJ Chatfield (NZ)","0","9","5","0","0","0.00","2","","v England","The Oval","14 Jul 1983",""
"142","JG Bracewell (NZ)","0","7","6","0","0","0.00","4","","v England","The Oval","14 Jul 1983",""
"143","GR Dilley (ENG)","0","2","3","0","0","0.00","1","","v New Zealand","Leeds","28 Jul 1983",""
"144","NG Cowans (ENG)","0","3","2","0","0","0.00","1","","v New Zealand","Leeds","28 Jul 1983",""
"145","JJ Crowe (NZ)","0","5","4","0","0","0.00","2","","v England","Leeds","28 Jul 1983",""
"146","EJ Chatfield (NZ)","0","1","1","0","0","0.00","2","","v England","Leeds","28 Jul 1983",""
"147","PH Edmonds (ENG)","0","2","4","0","0","0.00","3","","v New Zealand","Leeds","28 Jul 1983",""
"148","CL Smith (ENG)","0","4","1","0","0","0.00","1","","v New Zealand","Lord's","11 Aug 1983",""
"149","JG Bracewell (NZ)","0","2","2","0","0","0.00","2","","v England","Lord's","11 Aug 1983",""
"150","Sir RJ Hadlee (NZ)","0","9","6","0","0","0.00","2","","v England","Lord's","11 Aug 1983",""
"151","GP Howarth (NZ)","0","13","7","0","0","0.00","4","","v England","Lord's","11 Aug 1983",""
"152","RW Taylor (ENG)","0","2","2","0","0","0.00","3","","v New Zealand","Nottingham","25 Aug 1983",""
"153","NG Cowans (ENG)","0","4","5","0","0","0.00","3","","v New Zealand","Nottingham","25 Aug 1983",""
"154","MD Crowe (NZ)","0","6","3","0","0","0.00","4","","v England","Nottingham","25 Aug 1983",""
"155","N Kapil Dev (INDIA)","0","-","-","0","0","-","1","","v Pakistan","Bengaluru","14 Sep 1983",""
"156","DR Doshi (INDIA)","0","-","-","0","0","-","1","","v Pakistan","Bengaluru","14 Sep 1983",""
"157","Azeem Hafeez (PAK)","0","1","1","0","0","0.00","2","","v India","Bengaluru","14 Sep 1983",""
"158","Mohsin Khan (PAK)","0","1","1","0","0","0.00","1","","v India","Jalandhar","24 Sep 1983",""
"159","Wasim Bari (PAK)","0","-","-","0","0","-","1","","v India","Jalandhar","24 Sep 1983",""
"160","Saleem Malik (PAK)","0","-","-","0","0","-","2","","v India","Nagpur","5 Oct 1983",""
"161","RJ Shastri (INDIA)","0","-","-","0","0","-","3","","v Pakistan","Nagpur","5 Oct 1983",""
"162","KBJ Azad (INDIA)","0","25","-","0","0","-","3","","v Pakistan","Nagpur","5 Oct 1983",""
"163","AL Logie (WI)","0","-","-","0","0","-","1","","v India","Kanpur","21 Oct 1983",""
"164","MA Holding (WI)","0","-","-","0","0","-","1","","v India","Kanpur","21 Oct 1983",""
"165","SM Gavaskar (INDIA)","0","1","2","0","0","0.00","2","","v West Indies","Kanpur","21 Oct 1983",""
"166","M Amarnath (INDIA)","0","-","-","0","0","-","2","","v West Indies","Kanpur","21 Oct 1983",""
"167","RJ Shastri (INDIA)","0","-","-","0","0","-","2","","v West Indies","Kanpur","21 Oct 1983",""
"168","AR Bhat (INDIA)","0","-","3","0","0","0.00","2","","v West Indies","Kanpur","21 Oct 1983",""
"169","M Amarnath (INDIA)","0","-","-","0","0","-","3","","v West Indies","Kanpur","21 Oct 1983",""
"170","S Madan Lal (INDIA)","0","-","-","0","0","-","3","","v West Indies","Kanpur","21 Oct 1983",""
"171","Yashpal Sharma (INDIA)","0","-","-","0","0","-","3","","v West Indies","Delhi","29 Oct 1983",""
"172","M Amarnath (INDIA)","0","2","2","0","0","0.00","3","","v West Indies","Delhi","29 Oct 1983",""
"173","N Kapil Dev (INDIA)","0","-","-","0","0","-","3","","v West Indies","Delhi","29 Oct 1983",""
"174","DK Lillee (AUS)","0","7","7","0","0","0.00","1","","v Pakistan","Perth","11 Nov 1983",""
"175","Javed Miandad (PAK)","0","8","6","0","0","0.00","2","","v Australia","Perth","11 Nov 1983",""
"176","Zaheer Abbas (PAK)","0","1","3","0","0","0.00","2","","v Australia","Perth","11 Nov 1983",""
"177","Wasim Bari (PAK)","0","9","2","0","0","0.00","2","","v Australia","Perth","11 Nov 1983",""
"178","AL Logie (WI)","0","1","1","0","0","0.00","1","","v India","Ahmedabad","12 Nov 1983",""
"179","KBJ Azad (INDIA)","0","-","-","0","0","-","2","","v West Indies","Ahmedabad","12 Nov 1983",""
"180","Maninder Singh (INDIA)","0","-","-","0","0","-","2","","v West Indies","Ahmedabad","12 Nov 1983",""
"181","AL Logie (WI)","0","-","-","0","0","-","3","","v India","Ahmedabad","12 Nov 1983",""
"182","WW Daniel (WI)","0","1","1","0","0","0.00","3","","v India","Ahmedabad","12 Nov 1983",""
"183","S Madan Lal (INDIA)","0","-","-","0","0","-","1","","v West Indies","Mumbai","24 Nov 1983",""
"184","RB Richardson (WI)","0","2","2","0","0","0.00","2","","v India","Mumbai","24 Nov 1983",""
"185","WW Daniel (WI)","0","-","-","0","0","-","2","","v India","Mumbai","24 Nov 1983",""
"186","Abdul Qadir (PAK)","0","2","7","0","0","0.00","1","","v Australia","Brisbane","25 Nov 1983",""
"187","Wasim Bari (PAK)","0","20","9","0","0","0.00","2","","v Australia","Adelaide","9 Dec 1983",""
"188","SM Gavaskar (INDIA)","0","1","1","0","0","0.00","1","","v West Indies","Kolkata","10 Dec 1983",""
"189","M Amarnath (INDIA)","0","-","15","0","0","0.00","1","","v West Indies","Kolkata","10 Dec 1983",""
"190","PJL Dujon (WI)","0","-","-","0","0","-","2","","v India","Kolkata","10 Dec 1983",""
"191","RA Harper (WI)","0","-","-","0","0","-","2","","v India","Kolkata","10 Dec 1983",""
"192","WW Davis (WI)","0","-","-","0","0","-","2","","v India","Kolkata","10 Dec 1983",""
"193","M Amarnath (INDIA)","0","-","13","0","0","0.00","3","","v West Indies","Kolkata","10 Dec 1983",""
"194","N Kapil Dev (INDIA)","0","-","-","0","0","-","3","","v West Indies","Kolkata","10 Dec 1983",""
"195","RA Harper (WI)","0","-","-","0","0","-","1","","v India","Chennai","24 Dec 1983",""
"196","AD Gaekwad (INDIA)","0","-","-","0","0","-","2","","v West Indies","Chennai","24 Dec 1983",""
"197","DB Vengsarkar (INDIA)","0","1","1","0","0","0.00","2","","v West Indies","Chennai","24 Dec 1983",""
"198","RW Marsh (AUS)","0","4","3","0","0","0.00","2","","v Pakistan","Melbourne","26 Dec 1983",""
"199","GF Lawson (AUS)","0","5","6","0","0","0.00","2","","v Pakistan","Melbourne","26 Dec 1983",""
"200","EJ Chatfield (NZ)","0","11","7","0","0","0.00","3","","v England","Wellington","20 Jan 1984",""
"201","EJ Chatfield (NZ)","0","7","2","0","0","0.00","1","","v England","Christchurch","3 Feb 1984",""
"202","DW Randall (ENG)","0","1","2","0","0","0.00","2","","v New Zealand","Christchurch","3 Feb 1984",""
"203","MW Gatting (ENG)","0","9","8","0","0","0.00","3","","v New Zealand","Christchurch","3 Feb 1984",""
"204","IT Botham (ENG)","0","1","1","0","0","0.00","3","","v New Zealand","Christchurch","3 Feb 1984",""
"205","RGD Willis (ENG)","0","6","5","0","0","0.00","3","","v New Zealand","Christchurch","3 Feb 1984",""
"206","BA Edgar (NZ)","0","8","2","0","0","0.00","1","","v England","Auckland","10 Feb 1984",""
"207","G Fowler (ENG)","0","1","1","0","0","0.00","2","","v New Zealand","Auckland","10 Feb 1984",""
"208","Zaheer Abbas (PAK)","0","7","7","0","0","0.00","2","","v England","Karachi","2 Mar 1984",""
"209","Wasim Raja (PAK)","0","7","2","0","0","0.00","4","","v England","Karachi","2 Mar 1984",""
"210","KJ Hughes (AUS)","0","4","8","0","0","0.00","3","","v West Indies","Georgetown","2 Mar 1984",""
"211","BL Cairns (NZ)","0","2","2","0","0","0.00","1","","v Sri Lanka","Kandy","9 Mar 1984",""
"212","S Wettimuny (SL)","0","3","4","0","0","0.00","2","","v New Zealand","Kandy","9 Mar 1984",""
"213","LRD Mendis (SL)","0","2","3","0","0","0.00","4","","v New Zealand","Kandy","9 Mar 1984",""
"214","DS de Silva (SL)","0","3","4","0","0","0.00","4","","v New Zealand","Kandy","9 Mar 1984",""
"215","VB John (SL)","0","9","5","0","0","0.00","4","","v New Zealand","Kandy","9 Mar 1984",""
"216","RW Taylor (ENG)","0","14","10","0","0","0.00","2","","v Pakistan","Faisalabad","12 Mar 1984",""
"217","DS de Silva (SL)","0","5","4","0","0","0.00","1","","v New Zealand","Colombo (SSC)","16 Mar 1984",""
"218","VB John (SL)","0","12","8","0","0","0.00","1","","v New Zealand","Colombo (SSC)","16 Mar 1984",""
"219","MD Crowe (NZ)","0","13","10","0","0","0.00","2","","v Sri Lanka","Colombo (SSC)","16 Mar 1984",""
"220","ERNS Fernando (SL)","0","10","7","0","0","0.00","3","","v New Zealand","Colombo (SSC)","16 Mar 1984",""
"221","JF Reid (NZ)","0","1","1","0","0","0.00","4","","v Sri Lanka","Colombo (SSC)","16 Mar 1984",""
"222","TG Hogan (AUS)","0","1","2","0","0","0.00","1","","v West Indies","Port of Spain","16 Mar 1984",""
"223","WB Phillips (AUS)","0","4","0","0","0","-","3","","v West Indies","Port of Spain","16 Mar 1984",""
"224","MW Gatting (ENG)","0","8","4","0","0","0.00","1","","v Pakistan","Lahore","19 Mar 1984",""
"225","Mohsin Kamal (PAK)","0","4","2","0","0","0.00","2","","v England","Lahore","19 Mar 1984",""
"226","DW Randall (ENG)","0","2","4","0","0","0.00","3","","v Pakistan","Lahore","19 Mar 1984",""
"227","NA Foster (ENG)","0","2","1","0","0","0.00","3","","v Pakistan","Lahore","19 Mar 1984",""
"228","Qasim Umar (PAK)","0","8","8","0","0","0.00","4","","v England","Lahore","19 Mar 1984",""
"229","Wasim Raja (PAK)","0","7","2","0","0","0.00","4","","v England","Lahore","19 Mar 1984",""
"230","JR Ratnayeke (SL)","0","5","5","0","0","0.00","1","","v New Zealand","Colombo (CCC)","24 Mar 1984",""
"231","Sir RJ Hadlee (NZ)","0","10","8","0","0","0.00","2","","v Sri Lanka","Colombo (CCC)","24 Mar 1984",""
"232","JG Bracewell (NZ)","0","8","1","0","0","0.00","2","","v Sri Lanka","Colombo (CCC)","24 Mar 1984",""
"233","MA Holding (WI)","0","1","1","0","0","0.00","2","","v Australia","Bridgetown","30 Mar 1984",""
"234","GM Ritchie (AUS)","0","1","-","0","0","-","3","","v West Indies","Bridgetown","30 Mar 1984",""
"235","TM Alderman (AUS)","0","12","-","0","0","-","3","","v West Indies","Bridgetown","30 Mar 1984",""
"236","CG Greenidge (WI)","0","1","2","0","0","0.00","2","","v Australia","St John's","7 Apr 1984",""
"237","JN Maguire (AUS)","0","1","1","0","0","0.00","3","","v West Indies","St John's","7 Apr 1984",""
"238","CG Rackemann (AUS)","0","31","21","0","0","0.00","3","","v West Indies","St John's","7 Apr 1984",""
