"","Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date",""
"7751","JT Partridge (SA)","DNB","-","-","-","-","-","1","","v England","Johannesburg","22 Jan 1965",""
"7752","AH McKinnon (SA)","DNB","-","-","-","-","-","1","","v England","Johannesburg","22 Jan 1965",""
"7753","JT Partridge (SA)","DNB","-","-","-","-","-","3","","v England","Johannesburg","22 Jan 1965",""
"7754","AH McKinnon (SA)","DNB","-","-","-","-","-","3","","v England","Johannesburg","22 Jan 1965",""
"7755","PM Pollock (SA)","DNB","-","-","-","-","-","3","","v England","Johannesburg","22 Jan 1965",""
"7756","HD Bromfield (SA)","DNB","-","-","-","-","-","3","","v England","Johannesburg","22 Jan 1965",""
"7757","JHB Waite (SA)","DNB","-","-","-","-","-","3","","v England","Johannesburg","22 Jan 1965",""
"7758","PL van der Merwe (SA)","DNB","-","-","-","-","-","3","","v England","Johannesburg","22 Jan 1965",""
"7759","JSE Price (ENG)","DNB","-","-","-","-","-","4","","v South Africa","Johannesburg","22 Jan 1965",""
"7760","RW Barber (ENG)","DNB","-","-","-","-","-","4","","v South Africa","Johannesburg","22 Jan 1965",""
"7761","NI Thomson (ENG)","DNB","-","-","-","-","-","4","","v South Africa","Johannesburg","22 Jan 1965",""
"7762","RO Collinge (NZ)","DNB","-","-","-","-","-","4","","v Pakistan","Auckland","29 Jan 1965",""
"7763","FJ Cameron (NZ)","DNB","-","-","-","-","-","4","","v Pakistan","Auckland","29 Jan 1965",""
"7764","Mufasir-ul-Haq (PAK)","DNB","-","-","-","-","-","3","","v New Zealand","Christchurch","12 Feb 1965",""
"7765","RO Collinge (NZ)","DNB","-","-","-","-","-","4","","v Pakistan","Christchurch","12 Feb 1965",""
"7766","JT Ward (NZ)","DNB","-","-","-","-","-","4","","v Pakistan","Christchurch","12 Feb 1965",""
"7767","RC Motz (NZ)","DNB","-","-","-","-","-","4","","v Pakistan","Christchurch","12 Feb 1965",""
"7768","FJ Cameron (NZ)","DNB","-","-","-","-","-","4","","v Pakistan","Christchurch","12 Feb 1965",""
"7769","AJ Pithey (SA)","DNB","-","-","-","-","-","3","","v England","Port Elizabeth","12 Feb 1965",""
"7770","PL van der Merwe (SA)","DNB","-","-","-","-","-","3","","v England","Port Elizabeth","12 Feb 1965",""
"7771","JHB Waite (SA)","DNB","-","-","-","-","-","3","","v England","Port Elizabeth","12 Feb 1965",""
"7772","PM Pollock (SA)","DNB","-","-","-","-","-","3","","v England","Port Elizabeth","12 Feb 1965",""
"7773","HD Bromfield (SA)","DNB","-","-","-","-","-","3","","v England","Port Elizabeth","12 Feb 1965",""
"7774","DA Allen (ENG)","DNB","-","-","-","-","-","4","","v South Africa","Port Elizabeth","12 Feb 1965",""
"7775","MJK Smith (ENG)","DNB","-","-","-","-","-","4","","v South Africa","Port Elizabeth","12 Feb 1965",""
"7776","KE Palmer (ENG)","DNB","-","-","-","-","-","4","","v South Africa","Port Elizabeth","12 Feb 1965",""
"7777","FJ Titmus (ENG)","DNB","-","-","-","-","-","4","","v South Africa","Port Elizabeth","12 Feb 1965",""
"7778","NI Thomson (ENG)","DNB","-","-","-","-","-","4","","v South Africa","Port Elizabeth","12 Feb 1965",""
"7779","KF Barrington (ENG)","DNB","-","-","-","-","-","4","","v South Africa","Port Elizabeth","12 Feb 1965",""
"7780","JM Parks (ENG)","DNB","-","-","-","-","-","4","","v South Africa","Port Elizabeth","12 Feb 1965",""
"7781","PH Parfitt (ENG)","DNB","-","-","-","-","-","4","","v South Africa","Port Elizabeth","12 Feb 1965",""
"7782","FM Engineer (INDIA)","DNB","-","-","-","-","-","3","","v New Zealand","Chennai","27 Feb 1965",""
"7783","SA Durani (INDIA)","DNB","-","-","-","-","-","3","","v New Zealand","Chennai","27 Feb 1965",""
"7784","S Venkataraghavan (INDIA)","DNB","-","-","-","-","-","3","","v New Zealand","Chennai","27 Feb 1965",""
"7785","Hanumant Singh (INDIA)","DNB","-","-","-","-","-","3","","v New Zealand","Chennai","27 Feb 1965",""
"7786","RG Nadkarni (INDIA)","DNB","-","-","-","-","-","3","","v New Zealand","Chennai","27 Feb 1965",""
"7787","MAK Pataudi (INDIA)","DNB","-","-","-","-","-","3","","v New Zealand","Chennai","27 Feb 1965",""
"7788","V Pollard (NZ)","DNB","-","-","-","-","-","4","","v India","Chennai","27 Feb 1965",""
"7789","RC Motz (NZ)","DNB","-","-","-","-","-","4","","v India","Chennai","27 Feb 1965",""
"7790","JR Reid (NZ)","DNB","-","-","-","-","-","4","","v India","Chennai","27 Feb 1965",""
"7791","RW Morgan (NZ)","DNB","-","-","-","-","-","4","","v India","Chennai","27 Feb 1965",""
"7792","B Sutcliffe (NZ)","DNB","-","-","-","-","-","4","","v India","Chennai","27 Feb 1965",""
"7793","RO Collinge (NZ)","DNB","-","-","-","-","-","4","","v India","Chennai","27 Feb 1965",""
"7794","JT Ward (NZ)","DNB","-","-","-","-","-","4","","v India","Chennai","27 Feb 1965",""
"7795","BW Yuile (NZ)","DNB","-","-","-","-","-","4","","v India","Chennai","27 Feb 1965",""
"7796","BW Sinclair (NZ)","DNB","-","-","-","-","-","4","","v India","Chennai","27 Feb 1965",""
"7797","JT Ward (NZ)","DNB","-","-","-","-","-","3","","v India","Kolkata","5 Mar 1965",""
"7798","Hanumant Singh (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Kolkata","5 Mar 1965",""
"7799","CG Borde (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Kolkata","5 Mar 1965",""
"7800","MAK Pataudi (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Kolkata","5 Mar 1965",""
"7801","RG Nadkarni (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Kolkata","5 Mar 1965",""
"7802","BP Gupte (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Kolkata","5 Mar 1965",""
"7803","RB Desai (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Kolkata","5 Mar 1965",""
"7804","RB Desai (INDIA)","DNB","-","-","-","-","-","3","","v New Zealand","Mumbai (BS)","12 Mar 1965",""
"7805","S Venkataraghavan (INDIA)","DNB","-","-","-","-","-","3","","v New Zealand","Mumbai (BS)","12 Mar 1965",""
"7806","RG Nadkarni (INDIA)","DNB","-","-","-","-","-","3","","v New Zealand","Mumbai (BS)","12 Mar 1965",""
"7807","BS Chandrasekhar (INDIA)","DNB","-","-","-","-","-","3","","v New Zealand","Mumbai (BS)","12 Mar 1965",""
"7808","RC Motz (NZ)","DNB","-","-","-","-","-","4","","v India","Mumbai (BS)","12 Mar 1965",""
"7809","S Venkataraghavan (INDIA)","DNB","-","-","-","-","-","2","","v New Zealand","Delhi","19 Mar 1965",""
"7810","BS Chandrasekhar (INDIA)","DNB","-","-","-","-","-","2","","v New Zealand","Delhi","19 Mar 1965",""
"7811","CG Borde (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Delhi","19 Mar 1965",""
"7812","S Venkataraghavan (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Delhi","19 Mar 1965",""
"7813","RG Nadkarni (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Delhi","19 Mar 1965",""
"7814","BS Chandrasekhar (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Delhi","19 Mar 1965",""
"7815","RB Desai (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Delhi","19 Mar 1965",""
"7816","V Subramanya (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Delhi","19 Mar 1965",""
"7817","Pervez Sajjad (PAK)","DNB","-","-","-","-","-","1","","v New Zealand","Lahore","2 Apr 1965",""
"7818","Mohammad Farooq (PAK)","DNB","-","-","-","-","-","1","","v New Zealand","Lahore","2 Apr 1965",""
"7819","FJ Cameron (NZ)","DNB","-","-","-","-","-","2","","v Pakistan","Lahore","2 Apr 1965",""
"7820","AE Dick (NZ)","DNB","-","-","-","-","-","2","","v Pakistan","Lahore","2 Apr 1965",""
"7821","RO Collinge (NZ)","DNB","-","-","-","-","-","2","","v Pakistan","Lahore","2 Apr 1965",""
"7822","Hanif Mohammad (PAK)","DNB","-","-","-","-","-","3","","v New Zealand","Lahore","2 Apr 1965",""
"7823","Mohammad Farooq (PAK)","DNB","-","-","-","-","-","2","","v New Zealand","Karachi","9 Apr 1965",""
"7824","Majid Khan (PAK)","DNB","-","-","-","-","-","4","","v New Zealand","Karachi","9 Apr 1965",""
"7825","Salahuddin (PAK)","DNB","-","-","-","-","-","4","","v New Zealand","Karachi","9 Apr 1965",""
"7826","Asif Iqbal (PAK)","DNB","-","-","-","-","-","4","","v New Zealand","Karachi","9 Apr 1965",""
"7827","Mohammad Farooq (PAK)","DNB","-","-","-","-","-","4","","v New Zealand","Karachi","9 Apr 1965",""
"7828","Intikhab Alam (PAK)","DNB","-","-","-","-","-","4","","v New Zealand","Karachi","9 Apr 1965",""
"7829","Hanif Mohammad (PAK)","DNB","-","-","-","-","-","4","","v New Zealand","Karachi","9 Apr 1965",""
"7830","Pervez Sajjad (PAK)","DNB","-","-","-","-","-","4","","v New Zealand","Karachi","9 Apr 1965",""
"7831","GD McKenzie (AUS)","DNB","-","-","-","-","-","1","","v West Indies","Bridgetown","5 May 1965",""
"7832","PI Philpott (AUS)","DNB","-","-","-","-","-","1","","v West Indies","Bridgetown","5 May 1965",""
"7833","ATW Grout (AUS)","DNB","-","-","-","-","-","1","","v West Indies","Bridgetown","5 May 1965",""
"7834","PI Philpott (AUS)","DNB","-","-","-","-","-","3","","v West Indies","Bridgetown","5 May 1965",""
"7835","ATW Grout (AUS)","DNB","-","-","-","-","-","3","","v West Indies","Bridgetown","5 May 1965",""
"7836","NJN Hawke (AUS)","DNB","-","-","-","-","-","3","","v West Indies","Bridgetown","5 May 1965",""
"7837","BK Shepherd (AUS)","DNB","-","-","-","-","-","3","","v West Indies","Bridgetown","5 May 1965",""
"7838","GD McKenzie (AUS)","DNB","-","-","-","-","-","3","","v West Indies","Bridgetown","5 May 1965",""
"7839","WW Hall (WI)","DNB","-","-","-","-","-","4","","v Australia","Bridgetown","5 May 1965",""
"7840","LR Gibbs (WI)","DNB","-","-","-","-","-","4","","v Australia","Bridgetown","5 May 1965",""
"7841","JL Hendriks (WI)","DNB","-","-","-","-","-","4","","v Australia","Bridgetown","5 May 1965",""
"7842","CC Griffith (WI)","DNB","-","-","-","-","-","4","","v Australia","Bridgetown","5 May 1965",""
"7843","BC Booth (AUS)","DNB","-","-","-","-","-","4","","v West Indies","Port of Spain","14 May 1965",""
"7844","DJ Sincock (AUS)","DNB","-","-","-","-","-","4","","v West Indies","Port of Spain","14 May 1965",""
"7845","GD McKenzie (AUS)","DNB","-","-","-","-","-","4","","v West Indies","Port of Spain","14 May 1965",""
"7846","ATW Grout (AUS)","DNB","-","-","-","-","-","4","","v West Indies","Port of Spain","14 May 1965",""
"7847","RM Cowper (AUS)","DNB","-","-","-","-","-","4","","v West Indies","Port of Spain","14 May 1965",""
"7848","NJN Hawke (AUS)","DNB","-","-","-","-","-","4","","v West Indies","Port of Spain","14 May 1965",""
"7849","G Thomas (AUS)","DNB","-","-","-","-","-","4","","v West Indies","Port of Spain","14 May 1965",""
"7850","BK Shepherd (AUS)","DNB","-","-","-","-","-","4","","v West Indies","Port of Spain","14 May 1965",""
"7851","PI Philpott (AUS)","DNB","-","-","-","-","-","4","","v West Indies","Port of Spain","14 May 1965",""
"7852","MJK Smith (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Birmingham","27 May 1965",""
"7853","FJ Titmus (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Birmingham","27 May 1965",""
"7854","KF Barrington (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Birmingham","27 May 1965",""
"7855","FE Rumsey (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Birmingham","27 May 1965",""
"7856","MC Cowdrey (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Birmingham","27 May 1965",""
"7857","JM Parks (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Birmingham","27 May 1965",""
"7858","TW Cartwright (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Birmingham","27 May 1965",""
"7859","FS Trueman (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Birmingham","27 May 1965",""
"7860","FE Rumsey (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Lord's","17 Jun 1965",""
"7861","JM Parks (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Lord's","17 Jun 1965",""
"7862","FS Trueman (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Lord's","17 Jun 1965",""
"7863","PH Parfitt (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Lord's","17 Jun 1965",""
"7864","MJK Smith (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Lord's","17 Jun 1965",""
"7865","JA Snow (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Lord's","17 Jun 1965",""
"7866","R Illingworth (ENG)","DNB","-","-","-","-","-","1","","v New Zealand","Leeds","8 Jul 1965",""
"7867","FJ Titmus (ENG)","DNB","-","-","-","-","-","1","","v New Zealand","Leeds","8 Jul 1965",""
"7868","FE Rumsey (ENG)","DNB","-","-","-","-","-","1","","v New Zealand","Leeds","8 Jul 1965",""
"7869","JDF Larter (ENG)","DNB","-","-","-","-","-","1","","v New Zealand","Leeds","8 Jul 1965",""
"7870","JM Parks (ENG)","DNB","-","-","-","-","-","1","","v New Zealand","Leeds","8 Jul 1965",""
"7871","JDF Larter (ENG)","DNB","-","-","-","-","-","4","","v South Africa","Lord's","22 Jul 1965",""
"7872","FJ Titmus (ENG)","DNB","-","-","-","-","-","4","","v South Africa","The Oval","26 Aug 1965",""
"7873","K Higgs (ENG)","DNB","-","-","-","-","-","4","","v South Africa","The Oval","26 Aug 1965",""
"7874","DJ Brown (ENG)","DNB","-","-","-","-","-","4","","v South Africa","The Oval","26 Aug 1965",""
"7875","JM Parks (ENG)","DNB","-","-","-","-","-","4","","v South Africa","The Oval","26 Aug 1965",""
"7876","JB Statham (ENG)","DNB","-","-","-","-","-","4","","v South Africa","The Oval","26 Aug 1965",""
"7877","ATW Grout (AUS)","DNB","-","-","-","-","-","1","","v England","Brisbane","10 Dec 1965",""
"7878","PI Philpott (AUS)","DNB","-","-","-","-","-","1","","v England","Brisbane","10 Dec 1965",""
"7879","PJ Allan (AUS)","DNB","-","-","-","-","-","1","","v England","Brisbane","10 Dec 1965",""
"7880","JM Parks (ENG)","DNB","-","-","-","-","-","3","","v Australia","Brisbane","10 Dec 1965",""
"7881","WE Russell (ENG)","DNB","-","-","-","-","-","3","","v Australia","Brisbane","10 Dec 1965",""
"7882","K Higgs (ENG)","DNB","-","-","-","-","-","3","","v Australia","Brisbane","10 Dec 1965",""
"7883","DJ Brown (ENG)","DNB","-","-","-","-","-","3","","v Australia","Brisbane","10 Dec 1965",""
"7884","DA Allen (ENG)","DNB","-","-","-","-","-","3","","v Australia","Brisbane","10 Dec 1965",""
"7885","FJ Titmus (ENG)","DNB","-","-","-","-","-","3","","v Australia","Brisbane","10 Dec 1965",""
"7886","JH Edrich (ENG)","DNB","-","-","-","-","-","4","","v Australia","Melbourne","30 Dec 1965",""
"7887","JM Parks (ENG)","DNB","-","-","-","-","-","4","","v Australia","Melbourne","30 Dec 1965",""
"7888","BR Knight (ENG)","DNB","-","-","-","-","-","4","","v Australia","Melbourne","30 Dec 1965",""
"7889","DA Allen (ENG)","DNB","-","-","-","-","-","4","","v Australia","Melbourne","30 Dec 1965",""
"7890","MJK Smith (ENG)","DNB","-","-","-","-","-","4","","v Australia","Melbourne","30 Dec 1965",""
"7891","FJ Titmus (ENG)","DNB","-","-","-","-","-","4","","v Australia","Melbourne","30 Dec 1965",""
"7892","KF Barrington (ENG)","DNB","-","-","-","-","-","4","","v Australia","Melbourne","30 Dec 1965",""
"7893","IJ Jones (ENG)","DNB","-","-","-","-","-","4","","v Australia","Melbourne","30 Dec 1965",""
"7894","MC Cowdrey (ENG)","DNB","-","-","-","-","-","4","","v Australia","Melbourne","30 Dec 1965",""
"7895","GD McKenzie (AUS)","DNB","-","-","-","-","-","2","","v England","Melbourne","11 Feb 1966",""
"7896","ATW Grout (AUS)","DNB","-","-","-","-","-","2","","v England","Melbourne","11 Feb 1966",""
"7897","JM Parks (ENG)","DNB","-","-","-","-","-","3","","v Australia","Melbourne","11 Feb 1966",""
"7898","DJ Brown (ENG)","DNB","-","-","-","-","-","3","","v Australia","Melbourne","11 Feb 1966",""
"7899","MJK Smith (ENG)","DNB","-","-","-","-","-","3","","v Australia","Melbourne","11 Feb 1966",""
"7900","IJ Jones (ENG)","DNB","-","-","-","-","-","3","","v Australia","Melbourne","11 Feb 1966",""
"7901","FJ Titmus (ENG)","DNB","-","-","-","-","-","3","","v Australia","Melbourne","11 Feb 1966",""
"7902","BR Knight (ENG)","DNB","-","-","-","-","-","3","","v Australia","Melbourne","11 Feb 1966",""
"7903","IJ Jones (ENG)","DNB","-","-","-","-","-","3","","v New Zealand","Christchurch","25 Feb 1966",""
"7904","DA Allen (ENG)","DNB","-","-","-","-","-","3","","v New Zealand","Christchurch","25 Feb 1966",""
"7905","K Higgs (ENG)","DNB","-","-","-","-","-","3","","v New Zealand","Christchurch","25 Feb 1966",""
"7906","DJ Brown (ENG)","DNB","-","-","-","-","-","3","","v New Zealand","Christchurch","25 Feb 1966",""
"7907","N Puna (NZ)","DNB","-","-","-","-","-","4","","v England","Christchurch","25 Feb 1966",""
"7908","IJ Jones (ENG)","DNB","-","-","-","-","-","2","","v New Zealand","Dunedin","4 Mar 1966",""
"7909","JH Edrich (ENG)","absent","-","-","-","-","-","2","","v New Zealand","Auckland","11 Mar 1966",""
"7910","DA Allen (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Auckland","11 Mar 1966",""
"7911","K Higgs (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Auckland","11 Mar 1966",""
"7912","DJ Brown (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Auckland","11 Mar 1966",""
"7913","IJ Jones (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Auckland","11 Mar 1966",""
"7914","JH Edrich (ENG)","DNB","-","-","-","-","-","4","","v New Zealand","Auckland","11 Mar 1966",""
"7915","LR Gibbs (WI)","DNB","-","-","-","-","-","3","","v England","Lord's","16 Jun 1966",""
"7916","DW Allan (WI)","DNB","-","-","-","-","-","3","","v England","Lord's","16 Jun 1966",""
"7917","CC Griffith (WI)","DNB","-","-","-","-","-","3","","v England","Lord's","16 Jun 1966",""
"7918","WW Hall (WI)","DNB","-","-","-","-","-","3","","v England","Lord's","16 Jun 1966",""
"7919","IJ Jones (ENG)","DNB","-","-","-","-","-","4","","v West Indies","Lord's","16 Jun 1966",""
"7920","BR Knight (ENG)","DNB","-","-","-","-","-","4","","v West Indies","Lord's","16 Jun 1966",""
"7921","FJ Titmus (ENG)","DNB","-","-","-","-","-","4","","v West Indies","Lord's","16 Jun 1966",""
"7922","BL D'Oliveira (ENG)","DNB","-","-","-","-","-","4","","v West Indies","Lord's","16 Jun 1966",""
"7923","K Higgs (ENG)","DNB","-","-","-","-","-","4","","v West Indies","Lord's","16 Jun 1966",""
"7924","WW Hall (WI)","DNB","-","-","-","-","-","3","","v England","Nottingham","30 Jun 1966",""
"7925","LR Gibbs (WI)","DNB","-","-","-","-","-","3","","v England","Nottingham","30 Jun 1966",""
"7926","JL Hendriks (WI)","DNB","-","-","-","-","-","3","","v England","Nottingham","30 Jun 1966",""
"7927","CC Griffith (WI)","DNB","-","-","-","-","-","3","","v England","Nottingham","30 Jun 1966",""
"7928","WW Hall (WI)","DNB","-","-","-","-","-","4","","v India","Mumbai (BS)","13 Dec 1966",""
"7929","RB Kanhai (WI)","DNB","-","-","-","-","-","4","","v India","Mumbai (BS)","13 Dec 1966",""
"7930","DAJ Holford (WI)","DNB","-","-","-","-","-","4","","v India","Mumbai (BS)","13 Dec 1966",""
"7931","JL Hendriks (WI)","DNB","-","-","-","-","-","4","","v India","Mumbai (BS)","13 Dec 1966",""
"7932","CC Griffith (WI)","DNB","-","-","-","-","-","4","","v India","Mumbai (BS)","13 Dec 1966",""
"7933","GD McKenzie (AUS)","DNB","-","-","-","-","-","4","","v South Africa","Cape Town","31 Dec 1966",""
"7934","GD Watson (AUS)","DNB","-","-","-","-","-","4","","v South Africa","Cape Town","31 Dec 1966",""
"7935","HB Taber (AUS)","DNB","-","-","-","-","-","4","","v South Africa","Cape Town","31 Dec 1966",""
"7936","DA Renneberg (AUS)","DNB","-","-","-","-","-","4","","v South Africa","Cape Town","31 Dec 1966",""
"7937","KR Stackpole (AUS)","DNB","-","-","-","-","-","4","","v South Africa","Cape Town","31 Dec 1966",""
"7938","WW Hall (WI)","DNB","-","-","-","-","-","4","","v India","Chennai","13 Jan 1967",""
"7939","LR Gibbs (WI)","DNB","-","-","-","-","-","4","","v India","Chennai","13 Jan 1967",""
"7940","PL van der Merwe (SA)","DNB","-","-","-","-","-","4","","v Australia","Durban","20 Jan 1967",""
"7941","DB Pithey (SA)","DNB","-","-","-","-","-","4","","v Australia","Durban","20 Jan 1967",""
"7942","DT Lindsay (SA)","DNB","-","-","-","-","-","4","","v Australia","Durban","20 Jan 1967",""
"7943","HR Lance (SA)","DNB","-","-","-","-","-","4","","v Australia","Durban","20 Jan 1967",""
"7944","PM Pollock (SA)","DNB","-","-","-","-","-","4","","v Australia","Durban","20 Jan 1967",""
"7945","PHJ Trimborn (SA)","DNB","-","-","-","-","-","4","","v Australia","Durban","20 Jan 1967",""
"7946","MJ Procter (SA)","DNB","-","-","-","-","-","4","","v Australia","Durban","20 Jan 1967",""
"7947","DA Renneberg (AUS)","DNB","-","-","-","-","-","3","","v South Africa","Johannesburg","3 Feb 1967",""
"7948","DT Lindsay (SA)","DNB","-","-","-","-","-","4","","v Australia","Port Elizabeth","24 Feb 1967",""
"7949","PM Pollock (SA)","DNB","-","-","-","-","-","4","","v Australia","Port Elizabeth","24 Feb 1967",""
"7950","JH du Preez (SA)","DNB","-","-","-","-","-","4","","v Australia","Port Elizabeth","24 Feb 1967",""
"7951","PHJ Trimborn (SA)","DNB","-","-","-","-","-","4","","v Australia","Port Elizabeth","24 Feb 1967",""
"7952","MJ Procter (SA)","DNB","-","-","-","-","-","4","","v Australia","Port Elizabeth","24 Feb 1967",""
"7953","PL van der Merwe (SA)","DNB","-","-","-","-","-","4","","v Australia","Port Elizabeth","24 Feb 1967",""
"7954","RNS Hobbs (ENG)","DNB","-","-","-","-","-","1","","v India","Leeds","8 Jun 1967",""
"7955","JT Murray (ENG)","DNB","-","-","-","-","-","1","","v India","Leeds","8 Jun 1967",""
"7956","R Illingworth (ENG)","DNB","-","-","-","-","-","1","","v India","Leeds","8 Jun 1967",""
"7957","K Higgs (ENG)","DNB","-","-","-","-","-","1","","v India","Leeds","8 Jun 1967",""
"7958","JA Snow (ENG)","DNB","-","-","-","-","-","1","","v India","Leeds","8 Jun 1967",""
"7959","K Higgs (ENG)","DNB","-","-","-","-","-","4","","v India","Leeds","8 Jun 1967",""
"7960","DB Close (ENG)","DNB","-","-","-","-","-","4","","v India","Leeds","8 Jun 1967",""
"7961","JA Snow (ENG)","DNB","-","-","-","-","-","4","","v India","Leeds","8 Jun 1967",""
"7962","G Boycott (ENG)","DNB","-","-","-","-","-","4","","v India","Leeds","8 Jun 1967",""
"7963","RNS Hobbs (ENG)","DNB","-","-","-","-","-","4","","v India","Leeds","8 Jun 1967",""
"7964","DN Sardesai (INDIA)","absent","-","-","-","-","-","3","","v England","Lord's","22 Jun 1967",""
"7965","Asif Iqbal (PAK)","DNB","-","-","-","-","-","4","","v England","Lord's","27 Jul 1967",""
"7966","Nasim-ul-Ghani (PAK)","DNB","-","-","-","-","-","4","","v England","Lord's","27 Jul 1967",""
"7967","Hanif Mohammad (PAK)","DNB","-","-","-","-","-","4","","v England","Lord's","27 Jul 1967",""
"7968","Wasim Bari (PAK)","DNB","-","-","-","-","-","4","","v England","Lord's","27 Jul 1967",""
"7969","Saleem Altaf (PAK)","DNB","-","-","-","-","-","4","","v England","Lord's","27 Jul 1967",""
"7970","Intikhab Alam (PAK)","DNB","-","-","-","-","-","4","","v England","Lord's","27 Jul 1967",""
"7971","DL Underwood (ENG)","DNB","-","-","-","-","-","2","","v Pakistan","Nottingham","10 Aug 1967",""
"7972","KF Barrington (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","Nottingham","10 Aug 1967",""
"7973","APE Knott (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","Nottingham","10 Aug 1967",""
"7974","GG Arnold (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","Nottingham","10 Aug 1967",""
"7975","TW Graveney (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","Nottingham","10 Aug 1967",""
"7976","DL Underwood (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","Nottingham","10 Aug 1967",""
"7977","DB Close (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","Nottingham","10 Aug 1967",""
"7978","BL D'Oliveira (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","Nottingham","10 Aug 1967",""
"7979","K Higgs (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","Nottingham","10 Aug 1967",""
"7980","FJ Titmus (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","Nottingham","10 Aug 1967",""
"7981","K Higgs (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","The Oval","24 Aug 1967",""
"7982","FJ Titmus (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","The Oval","24 Aug 1967",""
"7983","APE Knott (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","The Oval","24 Aug 1967",""
"7984","TW Graveney (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","The Oval","24 Aug 1967",""
"7985","GG Arnold (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","The Oval","24 Aug 1967",""
"7986","DL Underwood (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","The Oval","24 Aug 1967",""
"7987","BL D'Oliveira (ENG)","DNB","-","-","-","-","-","4","","v Pakistan","The Oval","24 Aug 1967",""
"7988","LR Gibbs (WI)","DNB","-","-","-","-","-","3","","v England","Port of Spain","19 Jan 1968",""
"7989","JA Snow (ENG)","DNB","-","-","-","-","-","4","","v West Indies","Kingston","8 Feb 1968",""
"7990","IJ Jones (ENG)","DNB","-","-","-","-","-","4","","v West Indies","Kingston","8 Feb 1968",""
"7991","RB Desai (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Dunedin","15 Feb 1968",""
"7992","BS Bedi (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Dunedin","15 Feb 1968",""
"7993","RG Nadkarni (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Dunedin","15 Feb 1968",""
"7994","EAS Prasanna (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Dunedin","15 Feb 1968",""
"7995","RC Motz (NZ)","DNB","-","-","-","-","-","4","","v India","Christchurch","22 Feb 1968",""
"7996","GA Bartlett (NZ)","DNB","-","-","-","-","-","4","","v India","Christchurch","22 Feb 1968",""
"7997","JC Alabaster (NZ)","DNB","-","-","-","-","-","4","","v India","Christchurch","22 Feb 1968",""
"7998","RI Harford (NZ)","DNB","-","-","-","-","-","4","","v India","Christchurch","22 Feb 1968",""
"7999","RO Collinge (NZ)","DNB","-","-","-","-","-","4","","v India","Christchurch","22 Feb 1968",""
"8000","EAS Prasanna (INDIA)","DNB","-","-","-","-","-","4","","v New Zealand","Wellington","29 Feb 1968",""
