"","Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date","","Country","Notout","Date","Year","Day","Month","Yday","Fours","Sixs","type"
"115","PR Stirling (IRE)",95,"115",80,"9","5",118.75,"2","","v Afghanistan","Greater Noida","17 Mar 2017","","IRE","",2017-03-17,2017,17,3,76,9,5,"ODI"
"116","AD Hales (ENG)",95,"119",86,"11","2",110.46,"2","","v Bangladesh","The Oval","1 Jun 2017","","ENG","",2017-06-01,2017,1,6,152,11,2,"ODI"
"117","Tamim Iqbal (BDESH)",95,"175",114,"6","3",83.33,"1","","v Australia","The Oval","5 Jun 2017","","BDESH","",2017-06-05,2017,5,6,156,6,3,"ODI"
"118","CJ Anderson (NZ)",94,"68",41,"2","10",229.26,"1","","v Bangladesh","Mount Maunganui","8 Jan 2017","","NZ","TRUE",2017-01-08,2017,8,1,8,2,10,"T20I"
"119","Nizakat Khan (HKG)",93,"-",111,"7","3",83.78,"1","","v U.A.E.","Dubai (DSC)","26 Jan 2017","","HKG","",2017-01-26,2017,26,1,26,7,3,"ODI"
"120","MDK Perera (SL)",92,"144",132,"10","4",69.69,"2","","v India","Galle","26 Jul 2017","","SL","TRUE",2017-07-26,2017,26,7,207,10,4,"Test"
"121","CA Pujara (INDIA)",92,"293",221,"7","0",41.62,"3","","v Australia","Bengaluru","4 Mar 2017","","INDIA","",2017-03-04,2017,4,3,63,7,0,"Test"
"122","MN Waller (ZIM)",92,"-",62,"10","5",148.38,"2","","v Scotland","Edinburgh","15 Jun 2017","","ZIM","",2017-06-15,2017,15,6,166,10,5,"ODI"
"123","JN Mohammed (WI)",91,"-",58,"11","3",156.89,"2","","v Pakistan","Providence","7 Apr 2017","","WI","TRUE",2017-04-07,2017,7,4,97,11,3,"ODI"
"124","Q de Kock (SA)",91,"159",118,"10","3",77.11,"2","","v New Zealand","Wellington","16 Mar 2017","","SA","",2017-03-16,2017,16,3,75,10,3,"Test"
"125","E Lewis (WI)",91,"-",51,"5","9",178.43,"2","","v Pakistan","Port of Spain","1 Apr 2017","","WI","",2017-04-01,2017,1,4,91,5,9,"T20I"
"126","RG Sharma (INDIA)",91,"146",119,"7","2",76.47,"1","","v Pakistan","Birmingham","4 Jun 2017","","INDIA","",2017-06-04,2017,4,6,155,7,2,"ODI"
"127","JE Root (ENG)",90,"195",127,"3","0",70.86,"2","","v West Indies","North Sound","5 Mar 2017","","ENG","TRUE",2017-03-05,2017,5,3,64,3,0,"ODI"
"128","KM Jadhav (INDIA)",90,"118",75,"12","1",120,"2","","v England","Kolkata","22 Jan 2017","","INDIA","",2017-01-22,2017,22,1,22,12,1,"ODI"
